# you get 2 lines to write a comment about this file. exactly 2.
# second line of comment
num classes=41
feature dim=100
partition=k-fold, 2
---
0,Brown Creeper
1,Pacific Wren
2,Pacific-slope Flycatcher
3,Red-breasted Nuthatch
4,Dark-eyed Junco
5,Olive-sided Flycatcher
6,Hermit Thrush
7,Chestnut-backed Chickadee
8,Varied Thrush
9,Hermit Warbler
10,Swainson's Thrush
11,Hammond's Flycatcher
12,Western Tanager
13,Black-headed Grosbeak
14,Golden Crowned Kinglet
15,Warbling Vireo
16,Yellow-rumped Warbler
17,MacGillivray's Warbler
18,Stellar's Jay
19,Frog species
20,Common Nighthawk
21,Wind
22,Stream Noise
23,Airplane
24,Rain
25,Creature Walking
26,Unidentified Bird
27,Gray Jay
28,Pileated Woodpecker
29,Band-tailed Pigeon
30,Red-breasted Sapsucker
31,Osprey
32,Douglas Squirrel
33,Evening Groskbeak
34,Northern Pygmy-Owl
35,Black-throated Gray Warbler
36,American Robin
37,Sooty Grouse
38,Person Talking
39,Chipmunk
40,Empty Segment
***
index;partition;labelset;featurevector
0;0;;0.000000,0.019231,0.038462,0.019231,0.019231,0.019231,0.000000,0.000000,0.019231,0.000000,0.038462,0.019231,0.019231,0.000000,0.000000,0.019231,0.000000,0.000000,0.019231,0.000000,0.000000,0.019231,0.019231,0.000000,0.038462,0.000000,0.019231,0.000000,0.000000,0.038462,0.019231,0.019231,0.000000,0.019231,0.000000,0.019231,0.000000,0.057692,0.000000,0.000000,0.000000,0.019231,0.000000,0.019231,0.038462,0.000000,0.000000,0.038462,0.000000,0.019231,0.000000,0.000000,0.000000,0.000000,0.000000,0.019231,0.000000,0.000000,0.038462,0.000000,0.019231,0.000000,0.000000,0.000000,0.000000,0.000000,0.019231,0.000000,0.038462,0.000000,0.019231,0.019231,0.038462,0.000000,0.000000,0.000000,0.019231,0.019231,0.000000,0.000000,0.000000,0.019231,0.000000,0.000000,0.019231,0.000000,0.000000,0.000000,0.000000,0.000000,0.019231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019231,0.000000,0.019231
1;0;12;0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.026316,0.052632,0.026316,0.026316,0.000000,0.078947,0.026316,0.000000,0.000000,0.000000,0.000000,0.052632,0.026316,0.000000,0.000000,0.000000,0.026316,0.000000,0.026316,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.026316,0.000000,0.026316,0.026316,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026316,0.026316,0.000000,0.026316,0.000000,0.026316
2;0;12,13;0.015873,0.031746,0.000000,0.015873,0.000000,0.000000,0.015873,0.015873,0.015873,0.000000,0.000000,0.031746,0.000000,0.000000,0.015873,0.047619,0.000000,0.015873,0.000000,0.000000,0.015873,0.000000,0.000000,0.000000,0.000000,0.000000,0.015873,0.000000,0.000000,0.015873,0.000000,0.015873,0.000000,0.000000,0.000000,0.031746,0.015873,0.015873,0.000000,0.000000,0.015873,0.015873,0.000000,0.000000,0.015873,0.015873,0.000000,0.000000,0.015873,0.015873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031746,0.000000,0.000000,0.015873,0.031746,0.031746,0.000000,0.031746,0.000000,0.031746,0.000000,0.000000,0.000000,0.015873,0.000000,0.000000,0.031746,0.000000,0.015873,0.015873,0.015873,0.000000,0.031746,0.000000,0.015873,0.015873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031746,0.047619,0.015873,0.000000,0.031746,0.000000,0.000000,0.063492,0.000000,0.015873,0.000000,0.015873
3;0;;0.000000,0.020408,0.000000,0.000000,0.000000,0.000000,0.040816,0.000000,0.000000,0.020408,0.000000,0.040816,0.020408,0.000000,0.020408,0.040816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.000000,0.000000,0.000000,0.040816,0.020408,0.020408,0.000000,0.000000,0.040816,0.000000,0.000000,0.000000,0.000000,0.020408,0.040816,0.000000,0.000000,0.000000,0.040816,0.061224,0.000000,0.020408,0.020408,0.020408,0.000000,0.000000,0.000000,0.000000,0.040816,0.020408,0.020408,0.000000,0.000000,0.020408,0.000000,0.020408,0.020408,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020408,0.020408,0.000000,0.000000,0.000000,0.040816,0.000000,0.000000,0.000000,0.000000,0.040816,0.000000,0.020408,0.000000,0.040816,0.000000,0.000000,0.000000,0.000000,0.020408,0.040816,0.020408,0.000000,0.000000,0.000000
4;0;2,11,12,13;0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.027778,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.027778,0.027778,0.027778,0.000000,0.027778,0.000000,0.000000,0.027778,0.000000,0.000000,0.027778,0.000000,0.027778,0.000000,0.083333,0.000000,0.000000,0.000000,0.055556,0.027778,0.000000,0.000000,0.055556,0.027778,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.027778,0.027778,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.027778
5;0;11;0.023256,0.000000,0.000000,0.000000,0.023256,0.000000,0.000000,0.023256,0.023256,0.023256,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.023256,0.000000,0.000000,0.046512,0.000000,0.000000,0.000000,0.000000,0.000000,0.046512,0.000000,0.000000,0.023256,0.000000,0.000000,0.000000,0.023256,0.023256,0.046512,0.000000,0.023256,0.000000,0.000000,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.023256,0.069767,0.000000,0.000000,0.000000,0.000000,0.023256,0.046512,0.069767,0.023256,0.023256,0.000000,0.000000,0.000000,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.046512,0.000000,0.000000,0.023256,0.023256,0.000000,0.000000,0.000000,0.023256,0.000000,0.000000,0.023256,0.000000,0.023256,0.000000,0.023256,0.000000,0.023256,0.000000,0.023256,0.000000,0.000000,0.000000,0.023256
6;0;;0.000000,0.020833,0.020833,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,0.000000,0.020833,0.000000,0.000000,0.020833,0.000000,0.041667,0.020833,0.000000,0.020833,0.000000,0.020833,0.000000,0.041667,0.000000,0.041667,0.000000,0.020833,0.000000,0.020833,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,0.041667,0.000000,0.020833,0.000000,0.020833,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,0.020833,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,0.020833,0.041667,0.000000,0.083333,0.000000,0.041667,0.000000,0.000000,0.000000,0.020833,0.000000,0.020833,0.083333,0.000000
7;0;;0.000000,0.000000,0.043478,0.043478,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000,0.086957,0.000000,0.043478,0.000000,0.000000,0.043478,0.000000,0.000000,0.043478,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.043478,0.086957,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.043478
8;0;23;0.055556,0.027778,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.027778,0.083333,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.055556,0.027778,0.000000,0.027778,0.027778,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.027778,0.083333,0.027778,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000
9;0;24;0.019608,0.019608,0.000000,0.000000,0.000000,0.019608,0.000000,0.000000,0.000000,0.000000,0.000000,0.019608,0.000000,0.039216,0.019608,0.019608,0.000000,0.000000,0.019608,0.078431,0.000000,0.019608,0.019608,0.019608,0.019608,0.000000,0.000000,0.019608,0.019608,0.058824,0.000000,0.000000,0.000000,0.058824,0.000000,0.019608,0.000000,0.000000,0.000000,0.000000,0.039216,0.000000,0.000000,0.019608,0.000000,0.000000,0.000000,0.039216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019608,0.019608,0.000000,0.000000,0.019608,0.019608,0.000000,0.039216,0.000000,0.000000,0.000000,0.000000,0.019608,0.019608,0.000000,0.019608,0.019608,0.000000,0.019608,0.000000,0.019608,0.019608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019608,0.019608,0.000000,0.019608,0.039216,0.000000,0.000000,0.000000,0.019608,0.000000,0.000000,0.000000,0.019608,0.000000
