bag_id,segment_id,min_x,max_x,min_y,max_y
0,0,188,206,6,20,
0,1,214,234,6,21,
0,2,316,332,6,31,
0,3,441,503,6,33,
0,4,527,582,6,59,
0,5,805,853,6,25,
0,6,943,981,6,28,
0,7,63,83,7,20,
0,8,721,749,7,20,
0,9,1100,1125,8,21,
0,10,1201,1217,8,30,
0,11,782,798,9,29,
0,12,615,679,10,35,
0,13,876,893,16,32,
0,14,1061,1100,20,44,
0,15,476,494,39,82,
0,16,73,88,46,61,
0,17,980,996,48,65,
0,18,303,334,52,83,
0,19,640,663,54,81,
0,20,0,192,55,163,
0,21,373,406,56,78,
0,22,1064,1090,56,83,
0,23,932,998,58,90,
0,24,195,213,59,87,
0,25,883,903,59,89,
0,26,859,875,65,80,
0,27,220,244,68,87,
0,28,991,1045,69,102,
0,29,799,821,77,97,
0,30,474,491,87,117,
0,31,915,983,88,140,
0,32,633,649,99,115,
0,33,1085,1111,99,134,
0,34,133,163,101,127,
0,35,502,572,102,143,
0,36,178,235,105,133,
0,37,442,459,108,125,
0,38,301,323,109,131,
0,39,1117,1160,110,134,
0,40,753,774,111,126,
0,41,341,362,113,128,
0,42,713,733,113,129,
0,43,123,140,115,131,
0,44,988,1050,115,135,
0,45,1173,1204,118,143,
0,46,173,188,119,136,
0,47,382,406,121,150,
0,48,451,491,136,167,
0,49,4,13,139,172,
0,50,574,590,139,159,
0,51,828,847,149,166,
1,0,1063,1094,6,27,
1,1,980,1024,7,22,
1,2,176,189,24,47,
1,3,91,112,38,63,
1,4,752,774,39,56,
1,5,825,843,57,84,
1,6,908,928,58,100,
1,7,291,311,60,74,
1,8,372,400,63,78,
1,9,58,75,65,80,
1,10,1153,1175,66,82,
1,11,811,824,68,104,
1,12,94,114,71,88,
1,13,460,479,72,91,
1,14,568,599,74,92,
1,15,880,905,74,104,
1,16,953,972,78,96,
1,17,709,737,79,112,
1,18,133,154,82,102,
1,19,626,655,84,122,
1,20,259,272,88,115,
1,21,749,770,89,104,
1,22,543,563,90,108,
1,23,446,467,93,118,
1,24,664,701,93,143,
1,25,320,342,99,136,
1,26,1182,1195,104,122,
1,27,579,598,106,119,
1,28,1045,1072,114,150,
1,29,509,527,117,131,
1,30,382,403,127,170,
1,31,217,232,131,148,
1,32,787,809,131,158,
1,33,143,170,139,173,
1,34,560,585,139,165,
1,35,840,874,146,163,
1,36,21,42,149,168,
1,37,901,939,155,179,
2,0,947,1017,5,27,
2,1,256,275,6,31,
2,2,361,392,6,21,
2,3,16,82,7,35,
2,4,621,700,7,39,
2,5,113,157,8,30,
2,6,234,257,8,30,
2,7,338,352,9,30,
2,8,844,862,9,33,
2,9,1048,1065,10,29,
2,10,198,230,11,31,
2,11,1068,1101,12,52,
2,12,884,900,14,36,
2,13,1020,1039,14,37,
2,14,717,738,15,37,
2,15,1140,1170,18,58,
2,16,444,466,20,47,
2,17,396,424,22,44,
2,18,1009,1023,34,53,
2,19,375,393,35,56,
2,20,51,68,39,54,
2,21,569,605,39,86,
2,22,972,992,41,63,
2,23,203,221,44,65,
2,24,1217,1237,45,60,
2,25,391,413,48,84,
2,26,1186,1206,49,85,
2,27,615,634,52,70,
2,28,852,887,52,83,
2,29,747,776,60,81,
2,30,353,367,62,81,
2,31,70,100,65,81,
2,32,627,659,66,81,
2,33,944,972,67,85,
2,34,20,49,68,105,
2,35,1028,1041,68,86,
2,36,217,234,69,86,
2,37,482,496,69,87,
2,38,129,169,75,93,
2,39,932,973,89,123,
2,40,896,914,93,108,
2,41,548,569,95,107,
2,42,1171,1190,99,125,
2,43,113,137,101,137,
2,44,243,293,115,154,
2,45,14,42,118,148,
2,46,160,180,118,141,
2,47,874,911,119,142,
2,48,215,237,122,144,
2,49,346,371,123,140,
2,50,634,667,125,141,
2,51,1117,1141,128,152,
2,52,554,580,133,147,
2,53,789,810,134,152,
2,54,937,952,134,149,
2,55,705,741,136,178,
2,56,1146,1167,137,151,
2,57,758,773,138,153,
2,58,402,415,139,159,
2,59,959,993,139,170,
2,60,850,866,142,160,
2,61,193,209,151,166,
2,62,768,790,158,175,
3,0,471,509,5,24,
3,1,878,894,5,36,
3,2,372,400,6,21,
3,3,695,711,6,21,
3,4,1187,1206,6,26,
3,5,78,98,7,30,
3,6,215,230,9,24,
3,7,184,227,20,78,
3,8,70,88,34,70,
3,9,272,290,38,52,
3,10,33,48,45,63,
3,11,858,876,45,71,
3,12,1179,1200,46,57,
3,13,609,623,50,77,
3,14,546,563,59,82,
3,15,678,704,60,70,
3,16,152,176,69,93,
3,17,806,829,72,93,
3,18,966,983,78,96,
3,19,854,870,81,101,
3,20,1004,1034,82,95,
3,21,671,694,83,123,
3,22,1118,1150,93,127,
3,23,500,532,94,117,
3,24,133,165,96,139,
3,25,454,467,96,119,
3,26,7,44,100,125,
3,27,539,557,101,114,
3,28,1218,1238,102,138,
3,29,263,284,104,121,
3,30,321,347,104,123,
3,31,369,393,105,118,
3,32,963,981,106,120,
3,33,227,254,107,129,
3,34,736,762,108,132,
3,35,176,193,111,127,
3,36,630,665,113,129,
3,37,80,125,114,144,
3,38,411,427,121,136,
3,39,1156,1175,129,169,
3,40,912,940,131,165,
3,41,428,440,142,162,
3,42,973,1002,143,160,
3,43,270,286,150,167,
3,44,400,422,153,168,
3,45,376,392,157,173,
3,46,897,921,159,178,
3,47,632,653,163,177,
3,48,1126,1150,163,177,
4,0,541,570,15,31,
4,1,1178,1206,21,49,
4,2,397,423,36,71,
4,3,275,300,43,61,
4,4,8,32,45,69,
4,5,408,559,51,116,
4,6,694,713,55,74,
4,7,1038,1070,55,82,
4,8,50,82,59,74,
4,9,901,978,64,88,
4,10,1003,1040,67,93,
4,11,13,31,72,85,
4,12,1072,1090,72,89,
4,13,49,65,90,107,
4,14,6,44,91,119,
4,15,852,973,93,129,
4,16,227,248,98,115,
4,17,514,551,99,155,
4,18,765,790,102,130,
4,19,726,749,111,134,
4,20,292,316,115,132,
4,21,421,456,115,136,
4,22,269,291,116,191,
4,23,377,418,122,149,
4,24,1147,1163,122,165,
4,25,1178,1212,122,145,
4,26,981,998,123,139,
4,27,163,182,124,138,
4,28,52,70,131,154,
4,29,893,919,134,166,
4,30,497,515,137,166,
4,31,446,466,146,158,
4,32,656,686,149,178,
4,33,766,781,153,172,
4,34,429,446,156,175,
4,35,530,547,160,177,
5,0,195,237,6,17,
5,1,866,901,6,18,
5,2,931,952,6,20,
5,3,979,1017,6,51,
5,4,750,774,7,30,
5,5,407,424,12,45,
5,6,84,105,48,72,
5,7,738,754,52,71,
5,8,211,226,59,76,
5,9,490,515,63,98,
5,10,763,778,63,78,
5,11,682,701,65,82,
5,12,888,909,77,90,
5,13,257,285,78,94,
5,14,345,361,79,94,
5,15,547,574,87,121,
5,16,979,995,89,104,
5,17,1191,1234,91,123,
5,18,1035,1070,96,123,
5,19,671,688,97,131,
5,20,755,808,99,142,
5,21,817,845,99,118,
5,22,225,260,103,141,
5,23,353,398,107,134,
5,24,863,878,108,130,
5,25,884,918,109,140,
5,26,254,316,110,148,
5,27,1015,1035,117,137,
5,28,196,217,118,143,
5,29,67,81,119,136,
5,30,145,158,120,142,
5,31,422,435,123,142,
5,32,1191,1207,127,146,
5,33,947,962,128,143,
5,34,1217,1237,133,150,
5,35,529,549,134,154,
5,36,8,28,136,156,
5,37,1000,1026,136,157,
5,38,337,360,140,170,
5,39,982,997,147,167,
5,40,1047,1059,149,168,
5,41,805,820,150,171,
5,42,628,652,162,175,
6,0,1207,1239,6,23,
6,1,127,154,7,31,
6,2,253,268,8,28,
6,3,931,954,10,20,
6,4,1169,1189,13,27,
6,5,756,773,15,36,
6,6,653,698,24,61,
6,7,49,65,27,44,
6,8,79,103,31,47,
6,9,382,397,31,46,
6,10,562,591,31,53,
6,11,1137,1173,31,52,
6,12,222,249,34,56,
6,13,711,735,35,66,
6,14,1212,1234,39,67,
6,15,748,780,40,66,
6,16,850,871,43,62,
6,17,534,552,45,63,
6,18,331,347,46,67,
6,19,270,284,48,66,
6,20,1015,1033,48,77,
6,21,790,812,53,69,
6,22,614,636,54,79,
6,23,887,901,54,72,
6,24,984,1102,79,136,
6,25,220,244,82,119,
6,26,954,978,82,100,
6,27,178,211,88,112,
6,28,1117,1241,88,142,
6,29,1191,1210,91,104,
6,30,69,93,97,111,
6,31,485,535,97,122,
6,32,124,140,108,128,
6,33,887,907,114,138,
6,34,801,821,115,131,
6,35,640,672,121,136,
6,36,148,206,129,151,
6,37,944,975,131,156,
6,38,1014,1117,132,180,
6,39,382,397,138,167,
6,40,1128,1197,144,179,
6,41,895,927,146,163,
6,42,744,760,147,168,
6,43,197,224,160,173,
6,44,202,275,209,237,
6,45,904,938,212,242,
6,46,820,893,219,248,
6,47,432,506,221,248,
7,0,143,195,5,28,
7,1,221,239,6,25,
7,2,574,598,6,22,
7,3,329,348,7,22,
7,4,899,920,7,24,
7,5,1058,1077,7,19,
7,6,365,381,8,23,
7,7,1112,1129,8,33,
7,8,503,518,12,36,
7,9,133,151,33,47,
7,10,43,67,40,53,
7,11,0,693,64,249,
7,12,1044,1110,72,115,
7,13,879,899,74,86,
7,14,1081,1158,86,154,
7,15,300,313,100,120,
7,16,901,923,127,141,
7,17,1213,1241,136,175,
7,18,933,967,140,185,
7,19,878,900,150,163,
7,20,1064,1087,157,169,
7,21,1182,1207,181,195,
7,22,529,562,211,247,
8,0,893,928,5,19,
8,1,764,783,6,19,
8,2,793,812,6,19,
8,3,997,1018,7,21,
8,4,841,870,8,28,
8,5,1041,1060,8,24,
8,6,1136,1149,52,70,
8,7,915,931,60,82,
8,8,663,683,63,84,
8,9,106,121,71,87,
8,10,261,295,71,106,
8,11,136,161,75,89,
8,12,369,389,75,99,
8,13,539,555,79,96,
8,14,716,733,82,103,
8,15,1028,1044,87,111,
8,16,806,833,89,106,
8,17,124,154,95,127,
8,18,231,248,95,109,
8,19,616,631,103,118,
8,20,289,301,104,136,
8,21,652,665,107,135,
8,22,914,932,108,128,
8,23,180,208,117,133,
8,24,255,270,117,139,
8,25,390,410,117,135,
8,26,448,463,120,152,
8,27,341,356,121,136,
8,28,969,990,121,134,
8,29,497,514,129,145,
8,30,1215,1234,134,163,
8,31,189,228,137,164,
8,32,637,672,140,163,
8,33,772,787,148,175,
8,34,948,964,155,173,
8,35,1029,1059,167,182,
9,0,33,92,5,22,
9,1,191,207,5,25,
9,2,360,427,5,25,
9,3,666,692,5,15,
9,4,807,852,5,23,
9,5,6,22,6,23,
9,6,320,358,6,32,
9,7,504,550,6,44,
9,8,695,746,6,44,
9,9,880,905,6,18,
9,10,624,661,7,28,
9,11,755,795,7,25,
9,12,932,957,7,26,
9,13,1046,1079,7,25,
9,14,1110,1125,7,28,
9,15,592,610,8,27,
9,16,122,146,9,27,
9,17,304,325,20,44,
9,18,56,69,27,46,
9,19,77,100,27,45,
9,20,208,231,32,45,
9,21,242,258,39,63,
9,22,954,981,39,81,
9,23,97,116,47,75,
9,24,398,413,49,71,
9,25,1128,1168,53,84,
9,26,929,945,57,73,
9,27,292,319,61,78,
9,28,1199,1222,63,73,
9,29,1083,1106,66,91,
9,30,846,875,71,82,
9,31,539,590,83,109,
9,32,177,215,92,123,
9,33,822,841,99,123,
9,34,874,892,101,116,
9,35,579,606,108,127,
9,36,813,832,117,130,
9,37,281,411,127,180,
9,38,129,196,128,173,
9,39,696,735,130,174,
9,40,795,813,131,147,
9,41,198,217,133,171,
9,42,1154,1194,137,159,
9,43,497,527,139,159,
9,44,227,281,149,190,
9,45,841,880,149,168,
9,46,53,94,156,179,
9,47,110,129,165,177,
9,48,799,821,202,247,
9,49,228,265,216,235,
9,50,315,330,231,246,
10,0,198,218,6,22,
10,1,960,979,8,25,
10,2,303,325,22,45,
10,3,278,292,23,43,
10,4,464,486,51,65,
10,5,661,677,63,79,
10,6,819,844,65,88,
10,7,93,116,71,84,
10,8,40,80,73,91,
10,9,899,923,74,89,
10,10,401,418,77,93,
10,11,527,549,83,112,
10,12,357,385,85,102,
10,13,110,145,87,109,
10,14,551,653,89,107,
10,15,1150,1208,96,123,
10,16,399,416,100,121,
10,17,472,487,104,130,
10,18,1218,1240,108,124,
10,19,920,949,116,134,
10,20,271,307,117,138,
10,21,223,239,121,139,
10,22,248,268,122,138,
10,23,930,1069,130,215,
10,24,192,214,131,146,
10,25,1070,1092,131,153,
10,26,2,57,133,210,
10,27,133,152,149,164,
10,28,230,306,152,171,
10,29,190,212,155,177,
11,0,133,151,23,51,
11,1,697,727,43,91,
11,2,148,245,52,166,
11,3,1162,1188,54,82,
11,4,783,899,59,108,
11,5,220,240,61,84,
11,6,953,975,67,101,
11,7,635,667,80,109,
11,8,1039,1111,80,126,
11,9,68,87,83,108,
11,10,877,972,84,148,
11,11,343,362,89,105,
11,12,688,716,93,117,
11,13,425,456,99,146,
11,14,519,644,99,145,
11,15,751,780,100,129,
11,16,279,304,106,138,
11,17,356,375,111,131,
11,18,717,739,112,126,
11,19,1060,1088,115,141,
11,20,334,350,125,143,
11,21,684,713,130,170,
11,22,103,141,133,157,
11,23,910,932,133,165,
11,24,1132,1156,133,161,
11,25,809,882,135,169,
11,26,715,746,146,163,
11,27,752,767,148,167,
11,28,1190,1209,150,166,
11,29,1090,1108,153,168,
11,30,332,349,156,176,
11,31,504,522,157,172,
11,32,653,670,158,179,
11,33,1047,1066,161,174,
12,0,598,638,5,25,
12,1,533,561,6,26,
12,2,706,722,7,22,
12,3,724,751,7,28,
12,4,853,876,7,19,
12,5,371,387,12,29,
12,6,329,348,17,33,
12,7,222,237,19,40,
12,8,7,33,20,42,
12,9,884,899,24,39,
12,10,788,803,31,47,
12,11,1002,1020,43,61,
12,12,198,216,53,68,
12,13,922,938,54,74,
12,14,87,116,55,79,
12,15,7,40,58,93,
12,16,1041,1064,70,93,
12,17,547,560,77,97,
12,18,757,787,78,99,
12,19,726,744,80,99,
12,20,363,378,85,102,
12,21,611,627,85,100,
12,22,136,153,90,115,
12,23,503,518,90,110,
12,24,32,46,98,116,
12,25,75,98,107,129,
12,26,760,787,110,145,
12,27,964,1002,111,143,
12,28,1145,1161,116,132,
12,29,214,330,117,238,
12,30,719,734,117,152,
12,31,917,937,118,134,
12,32,809,832,135,147,
12,33,689,709,141,158,
12,34,193,213,158,175,
12,35,98,128,225,236,
13,0,709,723,6,28,
13,1,271,289,33,46,
13,2,974,1008,57,93,
13,3,1111,1126,64,88,
13,4,402,431,72,102,
13,5,9,24,77,94,
13,6,834,898,81,141,
13,7,745,769,83,114,
13,8,288,305,84,106,
13,9,817,838,86,120,
13,10,137,156,89,121,
13,11,1003,1020,95,114,
13,12,607,735,99,175,
13,13,908,946,103,119,
13,14,1165,1182,104,136,
13,15,286,304,108,147,
13,16,1072,1102,109,136,
13,17,387,409,117,145,
13,18,459,486,119,145,
13,19,353,389,122,154,
13,20,520,539,122,137,
13,21,1035,1053,124,150,
13,22,859,880,143,158,
13,23,776,789,144,162,
13,24,812,836,146,172,
13,25,298,318,151,168,
13,26,503,525,153,169,
13,27,465,487,154,169,
14,0,41,74,5,15,
14,1,163,180,6,20,
14,2,594,637,6,28,
14,3,1153,1185,6,27,
14,4,644,674,7,22,
14,5,845,865,7,31,
14,6,728,758,13,59,
14,7,57,97,19,40,
14,8,838,867,33,66,
14,9,1017,1057,36,82,
